station_id,site,station,date,year,month,day,bom_rainfall,nasa_rainfall,era5_rainfall
23867,Montacute,Ashton,19-08-2024,2024,8,19,0.2,2.96,0.9874
23867,Montacute,Ashton,18-08-2024,2024,8,18,12.2,0.15,0.0174
23867,Montacute,Ashton,17-08-2024,2024,8,17,13.2,3.76,1.1922
23867,Montacute,Ashton,16-08-2024,2024,8,16,23.8,5.14,8.5737
23867,Montacute,Ashton,15-08-2024,2024,8,15,7.8,24.64,4.9703
23867,Montacute,Ashton,14-08-2024,2024,8,14,0,0.28,2.505
23867,Montacute,Ashton,13-08-2024,2024,8,13,0,1.29,0.6169
23867,Montacute,Ashton,12-08-2024,2024,8,12,0,0,0.0009
23867,Montacute,Ashton,11-08-2024,2024,8,11,0,0,0.0009
23867,Montacute,Ashton,10-08-2024,2024,8,10,0.2,0.03,0
23867,Montacute,Ashton,09-08-2024,2024,8,9,4.2,0.06,0
23867,Montacute,Ashton,08-08-2024,2024,8,8,0,2.05,2.1418
23867,Montacute,Ashton,07-08-2024,2024,8,7,0.2,0,0
23867,Montacute,Ashton,06-08-2024,2024,8,6,0.6,0.56,0.0303
23867,Montacute,Ashton,05-08-2024,2024,8,5,1.4,1.67,0.4018
23867,Montacute,Ashton,04-08-2024,2024,8,4,0,0.16,1.3124
23867,Montacute,Ashton,03-08-2024,2024,8,3,2,0.01,0.0043
23867,Montacute,Ashton,02-08-2024,2024,8,2,0,0.09,0.1663
23867,Montacute,Ashton,01-08-2024,2024,8,1,0,0,0.0021
23867,Montacute,Ashton,31-07-2024,2024,7,31,0,0,0.0009
23867,Montacute,Ashton,30-07-2024,2024,7,30,0,0,0.0009
23867,Montacute,Ashton,29-07-2024,2024,7,29,0.4,0,0.0021
23867,Montacute,Ashton,28-07-2024,2024,7,28,1,0.11,0.0157
23867,Montacute,Ashton,27-07-2024,2024,7,27,6.2,5.17,0.1821
23867,Montacute,Ashton,26-07-2024,2024,7,26,0.8,0.35,2.9642
23867,Montacute,Ashton,25-07-2024,2024,7,25,15.6,0.8,0.8801
23867,Montacute,Ashton,24-07-2024,2024,7,24,0,2.59,4.6558
23867,Montacute,Ashton,23-07-2024,2024,7,23,0,0,0
23867,Montacute,Ashton,22-07-2024,2024,7,22,4,0.1,0.0018
23867,Montacute,Ashton,21-07-2024,2024,7,21,7.6,1.08,1.9295
23867,Montacute,Ashton,20-07-2024,2024,7,20,20.4,1.16,2.7816
23867,Montacute,Ashton,19-07-2024,2024,7,19,0.4,8.76,18.3817
23867,Montacute,Ashton,18-07-2024,2024,7,18,4.4,0.25,0.3509
23867,Montacute,Ashton,17-07-2024,2024,7,17,1.6,3.77,2.7825
23867,Montacute,Ashton,16-07-2024,2024,7,16,4.6,1.1,0.7819
23867,Montacute,Ashton,15-07-2024,2024,7,15,7,0.91,0.8838
23867,Montacute,Ashton,11-07-2024,2024,7,11,12.2,7.87,3.2379
23867,Montacute,Ashton,10-07-2024,2024,7,10,0.2,0.04,7.0661
23867,Montacute,Ashton,09-07-2024,2024,7,9,5.6,0.48,0.0598
23867,Montacute,Ashton,08-07-2024,2024,7,8,1,1.69,1.2234
23867,Montacute,Ashton,07-07-2024,2024,7,7,0,0.29,1.282
23867,Montacute,Ashton,06-07-2024,2024,7,6,0,0.01,2.7589
23867,Montacute,Ashton,05-07-2024,2024,7,5,0,0.01,0.0013
23867,Montacute,Ashton,04-07-2024,2024,7,4,0,0.02,0.0017
23867,Montacute,Ashton,03-07-2024,2024,7,3,0.2,0,0
23867,Montacute,Ashton,02-07-2024,2024,7,2,0.2,0.01,0
23867,Montacute,Ashton,01-07-2024,2024,7,1,1.4,1.14,0.004
23867,Montacute,Ashton,30-06-2024,2024,6,30,5.4,0.62,0.2287
23867,Montacute,Ashton,29-06-2024,2024,6,29,49.6,7.92,2.1952
23867,Montacute,Ashton,28-06-2024,2024,6,28,1,0.29,11.9555
23867,Montacute,Ashton,27-06-2024,2024,6,27,8,0.78,0.3906
23867,Montacute,Ashton,26-06-2024,2024,6,26,19.8,4.93,4.2825
23867,Montacute,Ashton,25-06-2024,2024,6,25,4.2,8.08,4.5823
23867,Montacute,Ashton,24-06-2024,2024,6,24,1,3.27,3.2141
23867,Montacute,Ashton,23-06-2024,2024,6,23,0,0.01,0.0199
23867,Montacute,Ashton,22-06-2024,2024,6,22,0.4,0.05,0.0017
23867,Montacute,Ashton,21-06-2024,2024,6,21,0.4,0.26,0.0308
23867,Montacute,Ashton,20-06-2024,2024,6,20,20.6,1.26,0.6581
23867,Montacute,Ashton,19-06-2024,2024,6,19,0,3.63,5.9227
23867,Montacute,Ashton,18-06-2024,2024,6,18,0,0.16,0.003
23867,Montacute,Ashton,17-06-2024,2024,6,17,0.2,0.11,0.0476
23867,Montacute,Ashton,16-06-2024,2024,6,16,0.2,0.04,0.0017
23867,Montacute,Ashton,15-06-2024,2024,6,15,22,2.49,0.0301
23867,Montacute,Ashton,14-06-2024,2024,6,14,17.8,6.15,4.5201
23867,Montacute,Ashton,13-06-2024,2024,6,13,0.4,4.33,5.8725
23867,Montacute,Ashton,12-06-2024,2024,6,12,14.2,2.13,0.0039
23867,Montacute,Ashton,11-06-2024,2024,6,11,2,1.58,1.4694
23867,Montacute,Ashton,10-06-2024,2024,6,10,0,0.39,2.1075
23867,Montacute,Ashton,09-06-2024,2024,6,9,0,0.11,0.0005
23867,Montacute,Ashton,08-06-2024,2024,6,8,0,0.01,0.0136
23867,Montacute,Ashton,07-06-2024,2024,6,7,0,0.01,0.0322
23867,Montacute,Ashton,06-06-2024,2024,6,6,1,0.21,0.0791
